Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
66500.0,3.0,1023.0,5,9,1978,65.0,42.0,8.0,Антоновича,"Голосіївський, Печерський",15.0
290000.0,1.0,6444.0,22,24,2019,45.0,12.0,18.0,Антоновича,"Голосіївський, Печерський",15.0
90000.0,2.0,1550.0,8,18,2009,69.0,37.0,14.0,Антоновича,"Голосіївський, Печерський",18.0
493000.0,4.0,4287.0,12,24,2019,115.0,80.0,20.0,Антоновича,"Голосіївський, Печерський",15.0
232000.0,3.0,1706.0,11,13,2014,136.0,70.0,14.0,Антоновича,"Голосіївський, Печерський",52.0
499000.0,2.0,4990.0,22,25,2019,100.0,37.0,14.0,Антоновича,"Голосіївський, Печерський",49.0
320000.0,2.0,3232.0,13,24,2019,99.0,47.0,13.0,Антоновича,"Голосіївський, Печерський",39.0
126000.0,2.0,1658.0,15,32,2020,76.0,41.0,14.0,Микільсько-Слобідська,Дніпровський,21.0
152000.0,2.0,1949.0,14,30,2020,78.0,37.0,12.0,Микільсько-Слобідська,Дніпровський,29.0
100000.0,3.0,1000.0,8,17,2003,100.0,64.0,14.0,Олевська,Святошинський,22.0
120000.0,3.0,1237.0,2,21,2016,97.0,52.0,20.0,Освіти,Солом'янський,25.0
87000.0,3.0,915.0,9,19,2019,69.0,52.0,14.0,Ушинського,Солом'янський,3.0
63900.0,1.0,761.0,13,14,2013,84.0,44.0,18.0,Ушинського,Солом'янський,22.0
185000.0,3.0,1637.0,8,24,2007,113.0,37.0,14.0,Урлівська,Дарницький,62.0
118000.0,2.0,1573.0,16,22,2010,75.0,32.0,12.0,Урлівська,Дарницький,31.0
